Datetime,Close,prev_day_high,prev_day_low,high_wick_sweep,low_wick_sweep,isGreen,isHigh,isLow,trend_ranging,trend_uptrend,ADX,DMP,DMN,is_trending,adx_uptrend,adx_downtrend,DI_cross_up,DI_cross_down,ADX_slope,trend_strengthening,trend_weakening,strong_up,fading_up,strong_down,fading_down,macd_line,macd_signal,macd_hist,lr_upper,lr_lower,near_upper_band,near_lower_band,touches_upper,touches_lower,broke_above,broke_below,bands_widening,bands_narrowing,macd_bullish_entry,macd_bearish_entry,rsi,rsi_overbought,rsi_oversold,mr_below_sma20,mr_above_sma20,mr_bb_below_lower,mr_bb_above_upper,mr_rsi_oversold,mr_rsi_overbought,mr_z_score_low,mr_z_score_high,mr_below_vwap,mr_above_vwap,mo_roc_positive_20,mo_roc_negative_20,mo_golden_cross,mo_death_cross,mo_macd_cross_up,mo_macd_cross_down,mo_adx_trending,mo_breakout_high20,mo_breakdown_low20,mo_volume_surge,mo_consecutive_up3,mo_consecutive_down3,mo_combo_long,mo_combo_short,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,in_bull_fvg,in_bear_fvg,recent_low_sweep,recent_high_sweep,setup_bull_sweep_fvg,setup_bear_sweep_fvg,setup_bull_confirmed,setup_bear_confirmed,spy_ret,qqq_ret,idx_div_spy_up_qqq_down,idx_div_spy_down_qqq_up,idx_div_any,idx_div_rolling3,idx_corr_20,idx_corr_breakdown,news_sentiment_score,news_article_count,news_bull,news_bear,news_sentiment_strong_bull,news_sentiment_strong_bear
2026-05-11 15:35:00+00:00,740.0700073242188,0.0,0.0,False,False,True,True,False,False,True,13.645531198058745,25.24025814588886,19.27257807876226,False,False,False,False,False,0.4273579721931071,True,False,False,False,False,False,0.5092602919227147,0.4842481418164801,0.025012150106234587,747.3965241947437,730.4909618336444,False,False,False,False,False,False,False,True,False,False,65.05868218836952,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022973767339840023,0.00015423768026523454,0.0,0.0,0.0,0.0,0.8094525368705985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:40:00+00:00,739.8499755859375,0.0,0.0,False,False,False,False,True,False,True,13.845955745609288,24.91631730601017,17.876300537875697,False,False,False,False,False,0.4751812896938876,True,False,False,False,False,False,0.493183860576778,0.4860352855685397,0.007148575008238289,747.3116861194194,730.6842528067486,False,False,False,False,False,False,False,True,False,False,61.134233054503746,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029731205981009534,-0.00011236561803784628,0.0,0.0,0.0,0.0,0.8462441612845961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:45:00+00:00,739.9299926757812,0.0,0.0,False,False,True,True,False,False,True,14.032064254049077,23.752458832268335,17.041286133273303,False,False,False,False,False,0.3681575635623968,True,False,False,False,False,False,0.4813511667111925,0.4850984617970703,-0.0037472950858777887,747.1927088600899,730.9403729922847,False,False,False,False,False,False,False,True,False,False,62.03121204572305,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010815312899126184,0.000701315570095673,0.0,0.0,0.0,0.0,0.8430393972442407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:50:00+00:00,740.1732177734375,0.0,0.0,False,False,True,True,False,False,True,14.645319013252768,24.920136973757522,15.726769664907078,False,False,False,False,False,0.9997878151940238,True,False,False,False,False,False,0.48599762612570885,0.48527829466279804,0.0007193314629108105,747.0796846494017,731.2103998812682,False,False,False,False,False,False,False,True,False,False,64.69820655335391,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003287136621894504,0.0007287065031924556,0.0,0.0,0.0,0.0,0.8428485501977527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:55:00+00:00,740.219970703125,0.0,0.0,False,False,True,True,False,False,True,15.377226131201082,25.108113786615448,15.099601734514897,False,False,False,False,False,1.5312703855917942,True,False,False,False,False,False,0.4878291585066563,0.4857884674315697,0.002040691075086587,746.9844706130682,731.4536389649795,False,False,False,False,False,False,False,True,False,False,65.20415686144717,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.316484920665388e-05,5.598065718737111e-05,0.0,0.0,0.0,0.0,0.8595118050753716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:00:00+00:00,740.0900268554688,0.0,0.0,False,False,False,False,True,False,True,15.952129795103119,24.037514734203995,14.913012068652042,False,False,False,False,False,1.9200655410540417,True,False,False,False,False,False,0.47333892214305706,0.4832985583738672,-0.009959636230810143,746.8677072219493,731.7142144064926,False,False,False,False,False,False,False,True,False,False,62.5220510483851,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017554761124971563,0.0003080900340779458,0.0,0.0,0.0,0.0,0.8647704664495595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:05:00+00:00,740.0900268554688,0.0,0.0,False,False,False,False,False,False,True,16.449197415842296,23.348377801977634,14.643930897297777,False,False,False,False,False,1.8038784025895271,True,False,False,False,False,False,0.4565919971045105,0.4779572461199959,-0.02136524901548542,746.7465493737825,731.9788764219709,False,False,False,False,False,False,False,True,False,False,62.52205102707121,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013293770979760922,0.0,0.0,0.0,0.0,0.7168847172752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:10:00+00:00,740.1300048828125,0.0,0.0,False,False,True,True,False,False,True,16.7933219283118,22.499427772456784,14.607845921285726,False,False,False,False,False,1.416095797110719,True,False,False,False,False,False,0.4414569896731564,0.470657194830628,-0.029200205157471626,746.6040071782088,732.2782754399457,False,False,False,False,False,False,False,True,False,False,63.064156299168424,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.401778958380454e-05,3.502391791898596e-05,0.0,0.0,0.0,0.0,0.7791974064105418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:15:00+00:00,740.0800170898438,0.0,0.0,False,False,False,False,True,False,True,17.11286611846206,21.68880395020521,14.081545074200596,False,False,False,False,False,1.1607363233589396,True,False,False,False,False,False,0.42058059877444975,0.4606418756193924,-0.04006127684494265,746.4942849122887,732.5198763800612,False,False,False,False,False,False,False,True,False,False,61.859286731061715,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.753920613811193e-05,-0.0007837394940468645,0.0,0.0,0.0,0.0,0.8011051926047382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:20:00+00:00,740.3049926757812,0.0,0.0,False,False,True,True,False,False,True,17.71211091720885,22.165857335239583,13.157572623275126,False,False,False,False,False,1.2629135013665547,True,False,False,False,False,False,0.4173782811504907,0.4519891567256121,-0.03461087557512138,746.4171087728926,732.7311657571972,False,False,False,False,False,False,False,True,False,False,65.0918046657311,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003039881914690401,7.702486706362421e-05,0.0,0.0,0.0,0.0,0.7947682024390404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
