Datetime,Close,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,in_bull_fvg,in_bear_fvg,recent_low_sweep,recent_high_sweep,setup_bull_sweep_fvg,setup_bear_sweep_fvg,setup_bull_confirmed,setup_bear_confirmed
2026-05-08 19:40:00+00:00,737.344970703125,737.1,737.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08 19:45:00+00:00,737.2000122070312,737.1,737.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08 19:50:00+00:00,737.4600219726562,737.1,737.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08 19:55:00+00:00,737.530029296875,737.1,737.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:30:00+00:00,737.9400024414062,737.1,737.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:35:00+00:00,737.60498046875,737.1,737.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:40:00+00:00,738.3900146484375,737.1,737.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:45:00+00:00,738.780029296875,738.35,737.945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:50:00+00:00,738.52001953125,738.42,738.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 13:55:00+00:00,738.6701049804688,738.42,738.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:00:00+00:00,738.5999755859375,738.42,738.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:05:00+00:00,738.7849731445312,738.42,738.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:10:00+00:00,739.0399780273438,738.42,738.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:15:00+00:00,739.47998046875,738.99,738.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:20:00+00:00,739.52001953125,739.37,739.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:25:00+00:00,738.4674072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:30:00+00:00,738.4299926757812,0.0,0.0,739.37,738.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:35:00+00:00,738.6099853515625,0.0,0.0,739.37,738.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:40:00+00:00,738.9400024414062,0.0,0.0,739.37,738.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:45:00+00:00,739.0549926757812,0.0,0.0,739.37,738.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:50:00+00:00,739.7899780273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 14:55:00+00:00,739.6500244140625,739.38,739.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:00:00+00:00,739.6099853515625,739.38,739.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:05:00+00:00,739.6099853515625,739.38,739.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:10:00+00:00,739.1199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:15:00+00:00,739.469970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:20:00+00:00,739.77001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:25:00+00:00,740.0706787109375,739.7,739.5171,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:30:00+00:00,739.9000244140625,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:35:00+00:00,740.0700073242188,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:40:00+00:00,739.8499755859375,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:45:00+00:00,739.9299926757812,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:50:00+00:00,740.1732177734375,739.85,739.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 15:55:00+00:00,740.219970703125,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:00:00+00:00,740.0900268554688,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:05:00+00:00,740.0900268554688,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:10:00+00:00,740.1300048828125,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:15:00+00:00,740.0800170898438,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:20:00+00:00,740.3049926757812,740.07,740.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:25:00+00:00,740.3350219726562,740.3,740.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:30:00+00:00,740.2899780273438,740.3,740.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:35:00+00:00,740.0900268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:40:00+00:00,739.6599731445312,0.0,0.0,740.19,740.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:45:00+00:00,739.530029296875,0.0,0.0,740.08,739.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:50:00+00:00,739.3330078125,0.0,0.0,740.08,739.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 16:55:00+00:00,739.3278198242188,0.0,0.0,739.52,739.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:00:00+00:00,739.52001953125,0.0,0.0,739.52,739.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:05:00+00:00,739.4500122070312,0.0,0.0,739.52,739.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:10:00+00:00,739.0599975585938,0.0,0.0,739.52,739.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:15:00+00:00,738.9550170898438,0.0,0.0,739.35,739.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:20:00+00:00,739.60498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:25:00+00:00,739.8099975585938,739.56,739.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:30:00+00:00,740.1467895507812,739.78,739.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:35:00+00:00,740.2999877929688,740.08,739.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:40:00+00:00,740.635009765625,740.22,740.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:45:00+00:00,740.3499755859375,740.22,740.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:50:00+00:00,740.239990234375,740.22,740.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 17:55:00+00:00,740.2000122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:00:00+00:00,740.6099853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:05:00+00:00,740.5599975585938,740.49,740.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:10:00+00:00,740.3400268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:15:00+00:00,740.3099975585938,0.0,0.0,740.49,740.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:20:00+00:00,740.2899780273438,0.0,0.0,740.49,740.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:25:00+00:00,740.3400268554688,0.0,0.0,740.49,740.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:30:00+00:00,740.0800170898438,0.0,0.0,740.49,740.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:35:00+00:00,739.7899780273438,0.0,0.0,740.22,740.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:40:00+00:00,739.77001953125,0.0,0.0,740.04,739.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:45:00+00:00,739.510009765625,0.0,0.0,740.04,739.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:50:00+00:00,739.3399047851562,0.0,0.0,739.61,739.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 18:55:00+00:00,738.52001953125,0.0,0.0,739.49,739.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:00:00+00:00,738.2899169921875,0.0,0.0,739.23,738.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:05:00+00:00,738.9600219726562,0.0,0.0,739.23,738.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:10:00+00:00,738.780029296875,0.0,0.0,739.23,738.84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:15:00+00:00,738.5900268554688,0.0,0.0,739.23,738.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:20:00+00:00,738.405029296875,0.0,0.0,738.66,738.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:25:00+00:00,738.489990234375,0.0,0.0,738.66,738.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:30:00+00:00,738.6099853515625,0.0,0.0,738.66,738.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:35:00+00:00,738.6199951171875,0.0,0.0,738.66,738.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:40:00+00:00,738.1900024414062,0.0,0.0,738.66,738.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:45:00+00:00,738.6099853515625,0.0,0.0,738.66,738.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:50:00+00:00,738.8900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 19:55:00+00:00,739.2000122070312,738.72,738.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:30:00+00:00,736.3499755859375,0.0,0.0,738.46,737.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:35:00+00:00,736.0900268554688,0.0,0.0,738.72,736.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:40:00+00:00,736.719970703125,0.0,0.0,738.72,736.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:45:00+00:00,735.780029296875,0.0,0.0,738.72,736.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:50:00+00:00,735.9099731445312,0.0,0.0,738.72,736.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 13:55:00+00:00,735.1099853515625,0.0,0.0,738.72,736.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:00:00+00:00,735.0999755859375,0.0,0.0,735.42,735.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:05:00+00:00,735.3200073242188,0.0,0.0,735.42,735.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:10:00+00:00,736.1099853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:15:00+00:00,736.219970703125,735.76,735.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:20:00+00:00,735.5744018554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:25:00+00:00,734.9199829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:30:00+00:00,734.0499877929688,0.0,0.0,735.4701,734.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:35:00+00:00,734.6400146484375,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:40:00+00:00,734.5999755859375,0.0,0.0,735.4701,734.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:45:00+00:00,734.0999755859375,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:50:00+00:00,734.0198974609375,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 14:55:00+00:00,733.7899780273438,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:00:00+00:00,733.469970703125,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:05:00+00:00,733.989990234375,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:10:00+00:00,733.239990234375,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:15:00+00:00,732.9500122070312,0.0,0.0,735.4701,734.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:20:00+00:00,732.0900268554688,0.0,0.0,733.12,733.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
